1	0	Gloriosissimis	ADJ	adjective	Case=Abl|Gender=Masc|Number=Plur	gloriosissimus	amod	1
1	1	imperatoribus	NOUN	noun	Case=Abl|Gender=Masc|Number=Plur	imperator	nmod	8
1	2	Honorio	PROPN	proper_noun	Case=Abl|Gender=Masc|Number=Sing	Honorius	nsubj	7
1	3	duodecimo	ADJ	adjective	Case=Abl|Gender=Masc|Number=Sing	duodecimus	flat:name	2
1	4	et	CCONJ	conjunction		et	cc	5
1	5	Theodosio	PROPN	proper_noun	Case=Abl|Gender=Masc|Number=Sing	Theodosius	conj	2
1	6	octauo	PROPN	proper_noun	Case=Abl|Gender=Masc|Number=Sing	octauus	flat:name	5
1	7	consulibus	NOUN	noun	Case=Abl|Gender=Masc|Number=Plur	consul	advcl:abs	1
1	8	duodecimo	ADJ	adjective	Case=Abl|Gender=Masc|Number=Sing	duodecimus	obl	41
1	9	Kalendas	NOUN	noun	Case=Acc|Gender=Fem|Number=Plur	Kalendae	nmod	8
1	10	Octobres	ADJ	adjective	Case=Acc|Gender=Fem|Number=Plur	october	amod	9
1	11	Caesareae	PROPN	proper_noun	Case=Gen|Gender=Fem|Number=Sing	Caesarea	nmod	8
1	12	in	ADP	preposition		in	case	13
1	13	ecclesia	NOUN	noun	Case=Abl|Gender=Fem|Number=Sing	ecclesia	nmod	8
1	14	maiore	ADJ	adjective	Case=Abl|Gender=Fem|Number=Sing	maior	amod	13
1	15	cum	ADP	preposition		cum	mark	16
1	16	Deuterius	PROPN	adjective	Case=Nom|Gender=Masc|Number=Sing	Deuterius	dep	22
1	17	episcopus	NOUN	noun	Case=Nom|Gender=Masc|Number=Sing	episcopus	appos	16
1	18	metropolitanus	NOUN	noun	Case=Nom|Gender=Masc|Number=Sing	metropolitanus	amod	17
1	19	Caesariensis	ADJ	adjective	Case=Nom|Gender=Masc|Number=Sing	Caesariensis	nmod	18
1	20	una	ADV	adverb		una	case	22
1	21	cum	ADP	preposition		cum	fixed	20
1	22	Alypio	PROPN	proper_noun	Case=Abl|Gender=Masc|Number=Sing	Alypius	obl	41
1	23	Tagastensi	PROPN	adjective	Case=Abl|Gender=Masc|Number=Sing	Tagastensis	flat:name	22
1	24	,	PUNCT	punc		,	punct	25
1	25	Augustino	PROPN	proper_noun	Case=Abl|Gender=Masc|Number=Sing	Augustinus	conj	22
1	26	Hipponiensi	ADJ	proper_noun	Case=Abl|Gender=Masc|Number=Sing	Hipponiensus	amod	25
1	27	,	PUNCT	punc		,	punct	28
1	28	Possidio	PROPN	noun	Case=Abl|Gender=Masc|Number=Sing	Possidium	conj	22
1	29	Calamensi	PROPN	proper_noun	Case=Abl|Gender=Masc|Number=Sing	Calamensis	flat	28
1	30	,	PUNCT	punc		,	punct	31
1	31	Rustico	PROPN	adjective	Case=Abl|Gender=Masc|Number=Sing	rusticus	conj	22
1	32	Cartenitano	ADJ	proper_noun	Case=Abl|Gender=Masc|Number=Sing	Cartenitanum	flat	31
1	33	,	PUNCT	punc		,	punct	34
1	34	Palladio	PROPN	proper_noun	Case=Abl|Gender=Masc|Number=Sing	palladium	conj	22
1	35	Tigabitano	ADJ	proper_noun	Case=Abl|Gender=Masc|Number=Sing	Tigabitano	appos	34
1	36	et	CCONJ	conjunction		et	cc	38
1	37	ceteris	DET	adjective	Case=Abl|Gender=Masc|Number=Plur	ceterus	det	38
1	38	episcopis	NOUN	noun	Case=Abl|Gender=Masc|Number=Plur	episcopus	conj	22
1	39	in	ADP	preposition		in	case	40
1	40	exedram	NOUN	proper_noun	Case=Acc|Gender=Fem|Number=Sing	exedra	obl	41
1	41	processissent	VERB	verb	Mood=Sub|Number=Plur|Person=3|Tense=Pqp|VerbForm=Fin|Voice=Act	procedo	advcl	64
