pr.pr	 Ad rem pertinere existimavi, ut vel vanum opusculum materiae congruentis absolverem et libello, qui commemorationem habet eorum, qui vel peregrini Burdigalae vel 1 Burdigalenses peregre docuerunt, Epitaphia subnecterem scilicet titulos sepulcrales 2 heroum, qui bello Troico interfuerunt. Quae antiqua cum aput philologum quendam repperissem, Latino sermone converti, non ut inservirem ordinis persequendi studio 3 , set ut cohercerem libere nec aberrarem. 
1.1	REX regum Atrides, fraternae coniugis ultor,
1.2	oppetii manibus coniugis ipse meae.
1.3	quid prodest Helenes raptum punisse dolentem,
1.4	vindicem adulterii cum Clytemestra necet?
2.1	FELIX O Menelae, deum cui debita sedes
2.2	decretumque piis manibus Elysium,
2.3	Tyndareo dilecte gener, dilecte Tonanti,
2.4	coniugii vindex, ultor adulterii,
2.5	aeterno pollens aevo aeternaque iuventa, 
2.6	nec leti passus tempora nec senii.
3.1	AIACIS tumulo pariter tegor obruta Virtus,
3.2	inlacrimans bustis funeris ipsa mei,
3.3	incomptas lacerata comas, quod pravus Atrides
3.4	cedere me instructis compulit insidiis,
3.5	iam dabo purpureum claro de sanguine florem, 
3.6	testantem gemitu crimina iudicii.
4.1	NON una Aeaciden tellus habet: ossa teguntur
4.2	litore Sigeo, crinem Larisa cremavit.
4.3	pars tumulis secreta iacet, pars classe relata est; 1 
4.4	orbe set in toto redivivum ostendet Homerus 2 .
5.1	CONDITUR hoc tumulo Laerta natus Ulixes:
5.2	perlege Odyssean omnia nosse volens.
6.1	CONDITUR hic genitore bono melior Diomedes,
6.2	crimen ob uxoris pulsus dotalibus Argis,
6.3	Argyripam clarosque viris qui condidit Arpos,
6.4	clarior urbe nova patriae quam sede vetusta.
7.1	CONSILIIS belloque bonus, quae copula rara est,
7.2	carus et Atridis, carus et Aeacidis:
7.3	praemia virtutis simul et pietatis adeptus,
7.4	servate Antilochus Nestore patre obii.
7.5	non hic ordo fuit: set iustius ille superstes, 
7.6	Troia capi sine quo perfida non poterat.
8.1	Hoc tegor in tumulo quarti iam prodigus aevi
8.2	Nestor, consilio clarus et eloquio,
8.3	obiecit sese cuius pro morte peremptus
8.4	filius et nati vulnere vivo pater,
8.5	eheu cur fatis disponere sic placet aevum, 
8.6	tam longum ut nobis, tam breve ut Antilocho?
9.1	ORBE tegor medio, maior virtute paterna,
9.2	quod puer et regis Pyrrhus opima tuli.
9.3	Impius ante aras quem fraude peremit Orestes,
