1.1	0	Solitas	VERB	verb	Case=Acc|Gender=Fem|Number=Plur|VerbForm=Part|Voice=Pass	Soleo	advcl:abs	2
1.1	1	galea	NOUN	noun	Case=Abl|Gender=Fem|Number=Sing	galea	obl	2
1.1	2	fulgere	VERB	verb	Tense=Pres|VerbForm=Inf|Voice=Act	fulgeo	ROOT	2
1.1	3	comas	NOUN	noun	Case=Acc|Gender=Fem|Number=Plur	coma	obj	2
1.1	4	,	PUNCT	punc		,	punct	2
1.2	0	Stilicho	NOUN	noun	Case=Abl|Gender=Neut|Number=Sing	Stilichus	ROOT	0
1.2	1	,	PUNCT	punc		,	punct	3
1.2	2	molli	ADJ	adjective	Case=Abl|Gender=Fem|Number=Sing	mollis	amod	3
1.2	3	necte	NOUN	adverb	Case=Abl|Gender=Fem|Number=Sing	necto	conj	0
1.2	4	corona	NOUN	noun	Case=Abl|Gender=Fem|Number=Sing	corona	conj	0
1.2	5	.	PUNCT	punc		.	punct	0
1.3	0	cessent	VERB	verb	Mood=Sub|Number=Plur|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	cesso	ROOT	0
1.3	1	litui	NOUN	noun	Case=Gen|Gender=Neut|Number=Sing	litus	obl	0
1.3	2	saevum	ADV	adjective		saeuus	advmod	0
1.3	3	que	ADV	adjective		que	advmod	2
1.3	4	procul	ADP	adverb		procul	advmod:lmod	0
1.4	0	Martem	NOUN	proper_noun	Gender=Fem|Number=Plur	Mars	obj	3
1.4	1	felix	PROPN	proper_noun	Case=Nom|Gender=Masc|Number=Sing	felix	nsubj	3
1.4	2	taeda	NOUN	proper_noun	Case=Nom|Gender=Masc|Number=Sing	taeda	advcl:pred	3
1.4	3	releget	VERB	verb	Mood=Ind|Number=Sing|Person=3|Tense=Fut|VerbForm=Fin|Voice=Act	relego	ROOT	3
1.4	4	.	PUNCT	punc		.	punct	3
1.5	0	tractus	VERB	noun	Case=Nom|Gender=Masc|Number=Sing|VerbForm=Part|Voice=Pass	tractus	ROOT	0
1.5	1	ab	ADP	preposition		ab	case	2
1.5	2	aula	NOUN	noun	Case=Abl|Gender=Fem|Number=Sing	aula	nmod	0
1.5	3	rursus	ADV	adverb		rursus	advmod	0
1.5	4	in	ADP	preposition		in	case	5
1.5	5	aulam	NOUN	noun	Case=Acc|Gender=Fem|Number=Sing	aula	nmod	0
1.6	0	redeat	VERB	verb	Mood=Sub|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	redeo	ROOT	0
1.6	1	sanguis	NOUN	noun	Case=Nom|Gender=Masc|Number=Sing	sanguis	nsubj	0
1.6	2	,	PUNCT	punc		,	punct	4
1.6	3	patris	NOUN	noun	Case=Gen|Gender=Masc|Number=Sing	pater	nmod	4
1.6	4	officiis	NOUN	noun	Case=Dat|Gender=Neut|Number=Plur	officium	conj	0
1.7	0	iunge	VERB	verb	Mood=Imp|Number=Sing|Person=2|Tense=Pres|VerbForm=Fin|Voice=Act	iungo	amod	2
1.7	1	potenti	VERB	verb	Case=Dat|Gender=Masc|Number=Sing|VerbForm=Part|Voice=Act	possum	advcl	0
1.7	2	pignora	NOUN	noun	Case=Acc|Gender=Neut|Number=Plur	pignus	ROOT	2
1.7	3	dextra	ADJ	adjective	Case=Acc|Gender=Neut|Number=Plur	dexter	amod	2
1.7	4	.	PUNCT	punc		.	punct	2
1.8	0	gener	NOUN	noun	Case=Acc|Gender=Neut|Number=Sing	gener	ROOT	0
1.8	1	Augusti	PROPN	adjective	Case=Gen|Gender=Masc|Number=Sing	Augustus	nmod	0
1.8	2	pridem	ADV	adverb		pridem	advmod:tmod	0
1.8	3	fueras	AUX	verb	Mood=Sub|Number=Sing|Person=2|Tense=Pqp|VerbForm=Fin	sum	cop	0
1.8	4	,	PUNCT	punc		,	punct	0
