pr.1	Parvos non aquilis fas est educere fetus
pr.2	ante fidem soils iudiciumque poli.
pr.3	nam pater, excusso saluit cum tegmine proles
pr.4	ovaque maternus rupit hiulca tepor,
pr.5	protinus implumes convertit ad aethera nidos 
pr.6	et recto flammas imperat ore pati.
pr.7	consulit ardentes radios et luce magistra
pr.8	natorum vires ingeniumque probat.
pr.9	degenerem refugo torsit qui lumine visum,
pr.10	unguibus hunc saevis ira paterna ferit. 
pr.11	exploratores oculis qui pertulit ignes
pr.12	sustinuitque acie nobiliore diem,
pr.13	nutritur volucrumque potens et fulminis heres,
pr.14	gesturus summo tela trisulca Iovi.
pr.15	me quoque Pieriis temptatum saepius antris 
pr.16	audet magna suo mittere Roma deo.
pr.17	iam dominas aures, iam regia tecta meremur
pr.18	et chelys Augusto iudice nostra sonat.
1.1	Tertia Romulei sumant exordia fasces
1.2	terque tuas ducat bellatrix pompa curules;
1.3	festior annus eat cinctusque imitata Gabinos
1.4	dives Hydaspeis augescat purpura gemmis;
1.5	succedant armis trabeae, tentoria lictor 
1.6	ambiat et Latiae redeant ad signa secures,
1.7	tuque o qui patrium curis aequalibus orbem
1.8	Eoo cum fratre regis, precede secundis
1.9	alitibus Phoebique novos ordire meatus,
1.10	spes votumque poli, quem primo a limine vitae 
1.11	nutrix aula fovet, strictis quem fulgida telis
1.12	inter laurigeros aluerunt castra triumphos.
1.13	ardua privatos nescit Fortuna penates
1.14	et regnum cum luce dedit. cognata potestas
1.15	excepit Tyrio venerabile pignus in ostro 
1.16	lustravitque tuos aquilis victricibus ortus
1.17	miles et in mediis cunabula praebuit hastis.
1.18	te nascente ferox toto Germania Rheno
1.19	intremuit movitque suas formidine silvas
1.20	Caucasus et positis numen confessa pharetris 
1.21	ignavas Meroe traxit de crine sagittas.
1.22	reptasti per scuta puer, regumque recentes
1.23	exuviae tibi ludus erant, primusque solebas
1.24	aspera complecti torvum post proelia patrem,
1.25	signa triumphato quotiens flexisset ab Histro 
1.26	Arctoa de strage calens, et poscere partem
1.27	de spoliis, Scythicos arcus aut rapta Gelonis
1.28	cingula vel iaculum Daci vel frena Suebi.
1.29	ille coruscanti clipeo te saepe volentem
1.30	sustulit adridens et pectore pressit anhelo 
1.31	intrepidum ferri galeae nec triste timentem
1.32	fulgur et ad summas tendentem brachia cristas,
1.33	tum sic laetus ait: “rex o stellantis Olympi,
1.34	talis perdomito redeat mihi filius hoste,
1.35	Hyrcanas populatus opes aut caede superbus 
1.36	Assyria, sic ense rubens, sic flamine crebro
1.37	turbidus et grato respersus pulvere belli,
1.38	armaque gaviso referat captiva parenti.”
1.39	Mox ubi firmasti recto vestigia gressu,
1.40	non tibi desidias molles nec marcida luxu 
1.41	otia nec somnos genitor permisit inertes,
1.42	sed nova per duros instruxit membra labores
1.43	et cruda teneras exercuit indole vires:
1.44	frigora saeva pati, gravibus non cedere nimbis,
1.45	aestivum tolerare iubar, transnare sonoras 
1.46	torrentum furias, ascensu vincere montes,
1.47	planitiem cursu, valles et concava saltu,
1.48	nec non in clipeo vigiles producere noctes,
1.49	in galea potare nives, nunc spicula cornu
1.50	tendere, nunc glandes Baleari spargere funda. 
1.51	quoque magis nimium pugnae inflammaret amorem,
1.52	facta tui numerabat avi, quem litus adustae
1.53	horrescit Libyae ratibusque impervia Thule:
1.54	ille leves Mauros nec falso nomine Pictos
1.55	edomuit Scottumque vago mucrone secutus 
1.56	fregit Hyperboreas remis audaeibus undas
1.57	et geminis fulgens utroque sub axe tropacis
1.58	Tethyos alternae refluas calcavit harenas.
1.59	hos tibi virtutum stimulos, haec semina laudum,
1.60	haec exempla dabat. non ocius hausit Achilles 
1.61	semiferi praecepta senis, seu cuspidis artes
1.62	sive lyrae cantus medieas seu disceret herbas.
1.63	Interea turbata fides, civilia rursus
1.64	bella tonant dubiumque quatit discordia mundum.
1.65	pro crimen superum, longi pro dedecus aevi: 
1.66	barbarus Hesperias exul possederat urbes
1.67	sceptraque deiecto dederat Romana clienti.
1.68	iam princeps molitur iter gentesque remotas
1.69	colligit Aurorae, tumidus quascumque pererrat 
1.70	Euphrates, quas lustrat Halys, quas ditat Orontes;
1.71	turiferos Arabes saltus, vada Caspia Medi,
1.72	Armenii Phasin, Parthi liquere Niphaten.
1.73	Quae tibi tum Martis rabies quantusque sequendi
1.74	ardor erat? quanto flagrabant pectora voto
1.75	optatas audire tubas campique cruenta 
1.76	tempestate frui truncisque inmergere plantas?
1.77	ut leo, quem fulvae matris spelunca tegebat
1.78	uberibus solitum pasci, cum crescere sensit
1.79	ungue pedes et terga iubis et dentibus ora,
1.80	iam negat imbelles epulas et rupe relicta 
1.81	Gaetulo comes ire patri stabulisque minari
1.82	aestuat et celsi tabo sordere iuvenci.
1.83	ille vetat rerumque tibi commendat habenas
1.84	et sacro meritos ornat diademate crines.
1.85	tantaque se rudibus pietas ostendit in annis, 
1.86	sic aetas animo cessit, quererentur ut omnes
1.87	imperium tibi sero datum. Victoria velox
1.88	auspiciis effecta tuis. Pugnastis uterque:
1.89	tu fatis genitorque manu. te propter et Alpes
1.90	invadi faciles cauto nec profuit hosti 
1.91	munitis haesisse locis: spes inrita valli
1.92	concidit et scopulis patuerunt claustra revulsis.
1.93	te propter gelidis Aquilo de monte procellis
1.94	obruit adversas acies revolutaque tela
1.95	vertit in auctores et turbine reppulit hastas 
1.96	o nimium dilecte deo, cui fundit ab antris
1.97	Aeolus armatas hiemes, cui militat aether
1.98	et coniurati veniunt ad classica venti.
1.99	Alpinae rubuere nives, et Frigidus amnis
1.100	mutatis fumavit aquis turbaque cadentum 
1.101	staret, ni rapidus iuvisset flumina sanguis.
1.102	At ferus inventor scelerum traiecerat altum
1.103	non uno mucrone latus, duplexque tepebat
1.104	ensis, et ultrices in se converterat iras
1.105	tandem iusta manus. iam libertate reducta, 
1.106	quamvis emeritum peteret natura reverti
1.107	numen et auratas astrorum panderet arces
1.108	nutaretque oneris venturi conscius Atlas,
1.109	distulit Augustus cupido se credere caelo,
1.110	dura tibi pacatum praesenti traderet orbem. 
1.111	nec mora: Bistoniis alacer consurgis ab oris,
1.112	inter barbaricas ausus transire cohortes
1.113	impavido vultu; linquis Rhodopeia saxa
1.114	Orpheis animata modis; iuga deseris Oetes
1.115	Herculeo damnata rogo; post Pelion intras 
1.116	Nereis inlustre toris; te pulcher Enipeus
1.117	celsaque Dodone stupuit rursusque locutae
1.118	in te Chaoniae moverunt carmina quercus.
1.119	Illyrici legitur plaga litoris; arva teruntur
1.120	Dalmatiae; Phrygii numerantur stagna Timavi. 
1.121	gaudent Italiae sublimibus oppida muris
1.122	adventu sacrata tuo, summissus adorat
1.123	Eridanus blandosque iubet mitescere fluctus
1.124	et Phaethonteas solitae deflere ruinas
1.125	roscida frondosae revocant electra sorores. 
1.126	Quanti tum iuvenes, quantae sprevere pudorem
1.127	spectandi studio matres, puerisque severi
1.128	certavere senes, cum tu genitoris amico
1.129	exceptus gremio mediam veherere per urbem
1.130	velaretque pios communis laurea currus! 
1.131	quis non Luciferum roseo cum Sole videri
1.132	credidit aut iunctum Bromio radiare Tonantem?
1.133	floret cristatis exercitus undique turmis,
1.134	quisque sua te voce canens. praestringit aena
1.135	lux oculos, nudique seges Mavortia ferri 
1.136	ingeminat splendore diem, pars nobilis arcu,
1.137	pars longe iaculis, pars comminus horrida contis;
1.138	hi volucres tollunt aquilas, hi picta draconum
1.139	colla levant, multusque tumet per nubila serpens
1.140	iratus stimulante Noto vivitque receptis 
1.141	flatibus et vario mentitur sibila tractu.
1.142	Ut ventum ad sedes, cunctos discedere tectis
1.143	dux iubet et generum compellat talibus ultro:
1.144	“bellipotens Stilicho, cuius mihi robur in armis,
1.145	pace probata fides: quid enim per proelia gessi 
1.146	te sine? quem merui te non sudante triumphum?
1.147	Odrysium pariter Getico foedavimus Hebrum
1.148	sanguine, Sarmaticas pariter prostravimus alas
1.149	Riphaeaque simul fessos porreximus artus
1.150	in glacie stantemque rota sulcavimus Histrum: 
1.151	ergo age, me quoniam caelestis regia poscit,
1.152	tu curis succede meis, tu pignora solus
1.153	nostra fove: geminos dextra tu protege fratres.
1.154	per consanguineos thalamos noctemque beatam,
1.155	per taedas, quas ipsa tuo regina levavit 
1.156	coniugio sociaque nurum produxit ab aula,
1.157	indue mente patrem, crescentes dilige fetus
1.158	ut ducis, ut soceri. lamiam securus ad astra
1.159	te custode ferar; rupta si mole Typhoeus
1.160	prosiliat, vinclis Tityos si membra resolvat, 
1.161	si furor Enceladi proiecta mugiat Aetna,
1.162	opposito Stilichone cadent.” Nec plura locutus,
1.163	sicut erat, liquido signavit tramite nubes
1.164	ingrediturque globum Lunae limenque relinquit
1.165	Arcados et Veneris clementes advolat auras. 
1.166	hinc Phoebi permensus iter flammamque nocentem
1.167	Gradivi placidumque Iovem; stetit arce suprema,
1.168	algenti qua zona riget Saturnia tractu.
1.169	machina laxatur caeli rutilaeque patescunt
1.170	sponte fores. Arctoa parat convexa Bootes, 
1.171	australes reserat portas succinctus Orion
1.172	invitantque novum sidus, pendentque vicissim
1.173	quas partes velit ipse sequi, quibus esse sodalis
1.174	dignetur stellis aut qua regione morari.
1.175	o decus aetherium, terrarum gloria quondam, 
1.176	te tuus Oceanus natali gurgite lassum
1.177	excipit et notis Hispania proluit undis.
1.178	fortunate parens, primos cum detegis ortus,
1.179	adspicis Arcadium; cum te proclivior urges,
1.180	occiduum visus remoratur Honorius ignem; 
1.181	et quocumque vagos flectas sub cardine cursus,
1.182	natorum per regna venis, qui mente serena
1.183	maturoque regunt iunctas moderamine gentes,
1.184	saecula qui rursus formant meliore metallo.
1.185	luget Avarities Stygiis innexa catenis 
1.186	cumque suo demens expellitur Ambitus auro.
1.187	non dominantur opes nec corrumpentia sensus
1.188	dona valent: emitur sola virtute potestas.
1.189	Unanimi fratres, quorum mare terraque fatis
1.190	debetur, quodcumque manus evasit avitas, 
1.191	quod superest patri: vobis iam Mulciber arma
1.192	praeparat et Sicula Cyclops incude laborat,
1.193	Brontes innumeris exasperat aegida signis,
1.194	altum fulminea crispare in casside conum
1.195	festinat Steropes, nectit thoraca Pyragmon 
1.196	ignifluisque gemit Lipare fumosa cavernis.
1.197	vobis Ionia virides Neptunus in alga
1.198	nutrit equos, qui summa freti per caerula possint
1.199	ferre viam segetemque levi percurrere motu,
1.200	nesciat ut spumas nec proterat ungula culmos. 
1.201	iam video Babylona rapi Parthumque coactum
1.202	non ficta trepidare fuga, iam Bactra teneri
1.203	legibus et famulis Gangen pallescere ripis
1.204	gemmatosque humilem dispergere Persida cultus.
1.205	ite per extremum Tanaim pigrosque Triones, 
1.206	ite per ardentem Libyam, superate vapores
1.207	solis et arcanos Nili deprendite fontes,
1.208	Herculeum finem, Bacchi transcurrite metas:
1.209	vestri iuris erit, quidquid complectitur axis,
1.210	vobis Rubra dabunt pretiosas aequora conchas, 
1.211	Indus ebur, ramos Panchaia, vellera Seres.
